Index	Date	Time	[uSec]	Freq	Code	Signal	Latitude	Longitude
1673	6/23/2022	19:29:15	434987	150.4	94	82	63.05628	-145.98755
1674	6/23/2022	19:29:17	253899	150.4	87	105	63.05644	-145.98723
1675	6/23/2022	19:29:19	369456	150.4	91	94	63.05697	-145.9863
1676	6/23/2022	19:29:19	738085	150.4	49	99	63.05697	-145.9863
1677	6/23/2022	19:29:20	932997	150.4	94	111	63.05715	-145.98601
1678	6/23/2022	19:29:22	255323	150.4	87	83	63.05733	-145.98572
1679	6/23/2022	19:29:24	869787	150.4	999	96	63.05785	-145.98486
1680	6/23/2022	19:29:26	433680	150.4	94	107	63.05818	-145.98428
1681	6/23/2022	19:29:27	254843	150.4	87	109	63.05818	-145.98428
1682	6/23/2022	19:29:27	798901	150.4	999	91	63.05834	-145.98397
1683	6/23/2022	19:29:29	739067	150.4	49	117	63.05866	-145.98332
1684	6/23/2022	19:29:31	934491	150.4	94	98	63.05898	-145.98261
1685	6/23/2022	19:29:32	255781	150.4	87	93	63.05898	-145.98261
1686	6/23/2022	19:29:32	588272	150.4	183	120	63.05914	-145.98225
1687	6/23/2022	19:29:32	899120	150.4	96	86	63.05914	-145.98225
1688	6/23/2022	19:29:37	589136	150.4	183	101	63.05999	-145.98059
1689	6/23/2022	19:29:38	399493	150.4	96	85	63.06017	-145.98026
1690	6/23/2022	19:29:39	740411	150.4	49	111	63.06036	-145.97995
1691	6/23/2022	19:29:39	969979	150.4	43	86	63.06036	-145.97995
1692	6/23/2022	19:29:42	123296	150.4	46	102	63.06075	-145.97932
1693	6/23/2022	19:29:42	257184	150.4	87	91	63.06094	-145.97901
1694	6/23/2022	19:29:42	718917	150.4	93	102	63.06094	-145.97901
1695	6/23/2022	19:29:44	740773	150.4	49	113	63.06133	-145.97834
1696	6/23/2022	19:29:47	257819	150.4	87	89	63.0617	-145.97764
1697	6/23/2022	19:29:58	935312	150.4	66	92	63.0641	-145.97506
1698	6/23/2022	19:29:59	255216	150.4	61	102	63.0641	-145.97506
1699	6/23/2022	19:30:08	721515	150.4	999	111	63.0661	-145.97265
1700	6/23/2022	19:30:09	256421	150.4	61	109	63.0661	-145.97265
1701	6/23/2022	19:30:10	939051	150.4	70	96	63.06644	-145.97195
1702	6/23/2022	19:30:15	175061	150.4	74	93	63.06706	-145.97039
1703	6/23/2022	19:30:19	72891	150.4	999	104	63.06773	-145.96906
1704	6/23/2022	19:30:19	259488	150.4	61	80	63.06773	-145.96906
1705	6/23/2022	19:30:19	870229	150.4	78	110	63.06792	-145.9688
1706	6/23/2022	19:30:20	675387	150.4	74	108	63.06811	-145.96859
1707	6/23/2022	19:30:20	943253	150.4	70	78	63.06811	-145.96859
1708	6/23/2022	19:30:21	638672	150.4	188	104	63.06831	-145.96842
1709	6/23/2022	19:30:23	550064	150.4	75	91	63.06873	-145.96818
1710	6/23/2022	19:30:23	938053	150.4	999	108	63.06873	-145.96818
1711	6/23/2022	19:30:24	563563	150.4	72	104	63.06895	-145.9681
1712	6/23/2022	19:30:25	371445	150.4	999	101	63.06916	-145.96804
1713	6/23/2022	19:30:26	175925	150.4	999	107	63.06916	-145.96804
1714	6/23/2022	19:30:26	639045	150.4	188	114	63.06938	-145.96797
1715	6/23/2022	19:30:29	79008	150.4	999	89	63.0698	-145.96783
1716	6/23/2022	19:30:29	258939	150.4	61	86	63.0698	-145.96783
1717	6/23/2022	19:30:29	800288	150.4	80	112	63.07001	-145.96774
1718	6/23/2022	19:30:30	64443	150.4	999	95	63.07001	-145.96774
1719	6/23/2022	19:30:31	676400	150.4	999	155	63.07042	-145.96755
1720	6/23/2022	19:30:33	939237	150.4	66	97	63.07083	-145.96736
1721	6/23/2022	19:30:36	372357	150.4	78	106	63.07146	-145.9672
1722	6/23/2022	19:30:36	640032	150.4	188	128	63.07146	-145.9672
1723	6/23/2022	19:30:37	177003	150.4	74	147	63.07146	-145.9672
1724	6/23/2022	19:30:38	943189	150.4	999	80	63.07188	-145.96722
1725	6/23/2022	19:30:40	249120	150.4	73	94	63.07208	-145.96729
1726	6/23/2022	19:30:40	802832	150.4	80	87	63.07228	-145.9674
1727	6/23/2022	19:30:42	677883	150.4	74	108	63.07266	-145.96776
1728	6/23/2022	19:30:43	276576	150.4	69	86	63.07284	-145.96801
1729	6/23/2022	19:30:46	249552	150.4	999	82	63.07332	-145.96903
1730	6/23/2022	19:30:46	566309	150.4	72	95	63.07332	-145.96903
1731	6/23/2022	19:30:48	941264	150.4	999	87	63.07355	-145.96993
1732	6/23/2022	19:30:58	942181	150.4	66	104	63.07288	-145.97552
1733	6/23/2022	19:31:00	190517	150.4	50	93	63.07261	-145.97593
1734	6/23/2022	19:31:02	55157	150.4	75	84	63.07198	-145.97649
1735	6/23/2022	19:31:03	942443	150.4	999	108	63.07131	-145.9768
1736	6/23/2022	19:31:04	263797	150.4	61	84	63.07131	-145.9768
1737	6/23/2022	19:31:09	283456	150.4	999	130	63.06958	-145.97647
1738	6/23/2022	19:31:14	263477	150.4	61	149	63.06834	-145.97418
1739	6/23/2022	19:31:19	264155	150.4	61	111	63.06785	-145.97124
1740	6/23/2022	19:31:20	377301	150.4	78	102	63.06795	-145.97015
1741	6/23/2022	19:31:21	183173	150.4	74	90	63.06795	-145.97015
1742	6/23/2022	19:31:23	945845	150.4	66	82	63.06831	-145.9688
1743	6/23/2022	19:31:24	806917	150.4	80	95	63.06848	-145.96847
1744	6/23/2022	19:31:25	877781	150.4	78	132	63.06867	-145.96823
1745	6/23/2022	19:31:26	682981	150.4	999	138	63.06886	-145.96806
1746	6/23/2022	19:31:29	80784	150.4	999	111	63.06927	-145.96794
1747	6/23/2022	19:31:30	193248	150.4	50	105	63.06948	-145.96796
1748	6/23/2022	19:31:30	947733	150.4	70	96	63.06969	-145.96801
1749	6/23/2022	19:31:31	378235	150.4	999	120	63.06991	-145.96807
1750	6/23/2022	19:31:31	645808	150.4	188	113	63.06991	-145.96807
1751	6/23/2022	19:31:32	183669	150.4	74	131	63.06991	-145.96807
1752	6/23/2022	19:31:34	90005	150.4	86	77	63.07034	-145.96815
1753	6/23/2022	19:31:35	57504	150.4	999	102	63.07055	-145.96816
1754	6/23/2022	19:31:36	71525	150.4	999	128	63.07077	-145.96817
1755	6/23/2022	19:31:36	879035	150.4	999	109	63.07098	-145.96815
1756	6/23/2022	19:31:37	684363	150.4	74	161	63.07119	-145.96813
1757	6/23/2022	19:31:39	87461	150.4	86	98	63.0714	-145.9681
1758	6/23/2022	19:31:40	194576	150.4	50	108	63.0716	-145.96805
1759	6/23/2022	19:31:40	557957	150.4	75	106	63.0718	-145.96799
1760	6/23/2022	19:31:41	308464	150.4	80	122	63.072	-145.96789
1761	6/23/2022	19:31:41	573163	150.4	72	93	63.072	-145.96789
1762	6/23/2022	19:31:42	379552	150.4	78	109	63.07219	-145.96775
1763	6/23/2022	19:31:43	185483	150.4	74	100	63.07219	-145.96775
1764	6/23/2022	19:31:43	948069	150.4	66	87	63.07238	-145.96757
1765	6/23/2022	19:31:46	254528	150.4	73	90	63.07272	-145.96703
1766	6/23/2022	19:31:46	809168	150.4	999	117	63.07289	-145.96672
1767	6/23/2022	19:31:47	74059	150.4	72	87	63.07289	-145.96672
1768	6/23/2022	19:31:48	689088	150.4	74	80	63.07319	-145.96605
1769	6/23/2022	19:31:50	982304	150.4	62	148	63.0735	-145.96535
1770	6/23/2022	19:31:51	256176	150.4	81	86	63.07366	-145.965
1771	6/23/2022	19:31:51	756688	150.4	73	115	63.07366	-145.965
1772	6/23/2022	19:31:53	284613	150.4	999	86	63.07398	-145.96431
1773	6/23/2022	19:31:53	558203	150.4	999	136	63.07398	-145.96431
1774	6/23/2022	19:31:55	983008	150.4	62	129	63.0743	-145.96367
1775	6/23/2022	19:31:56	255413	150.4	81	101	63.07447	-145.96337
1776	6/23/2022	19:31:57	258000	150.4	73	91	63.07447	-145.96337
1777	6/23/2022	19:31:58	284197	150.4	999	106	63.07482	-145.96284
1778	6/23/2022	19:31:58	559248	150.4	999	92	63.07482	-145.96284
1779	6/23/2022	19:32:00	983669	150.4	62	113	63.07519	-145.96245
1780	6/23/2022	19:32:01	255851	150.4	81	105	63.07538	-145.96231
1781	6/23/2022	19:32:02	758064	150.4	73	106	63.07558	-145.96221
1782	6/23/2022	19:32:03	537717	150.4	89	129	63.07578	-145.96214
1783	6/23/2022	19:32:05	984357	150.4	62	104	63.07618	-145.9621
1784	6/23/2022	19:32:08	259659	150.4	73	85	63.07659	-145.96214
1785	6/23/2022	19:32:10	986565	150.4	62	83	63.07719	-145.96218
1786	6/23/2022	19:32:11	257291	150.4	81	107	63.07739	-145.96218
1787	6/23/2022	19:32:19	269163	150.4	76	105	63.07901	-145.96157
1788	6/23/2022	19:32:24	770379	150.4	76	100	63.07995	-145.96242
1789	6/23/2022	19:32:36	260091	150.4	81	102	63.07871	-145.96845
1790	6/23/2022	19:32:37	240517	150.4	71	83	63.07838	-145.96862
1791	6/23/2022	19:32:41	11685	150.4	999	83	63.07733	-145.96853
1792	6/23/2022	19:32:41	116560	150.4	999	108	63.07733	-145.96853
1793	6/23/2022	19:32:41	653221	150.4	188	96	63.077	-145.96832
1794	6/23/2022	19:32:43	290597	150.4	69	86	63.07638	-145.96762
1795	6/23/2022	19:32:43	956005	150.4	999	80	63.07638	-145.96762
1796	6/23/2022	19:32:44	274427	150.4	61	92	63.07638	-145.96762
1797	6/23/2022	19:32:45	988709	150.4	62	155	63.07586	-145.96667
